latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
36.1615,-92.45782,296.29,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,282.77,0.42,N
36.16087,-92.45319,295.69,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,283.96,0.42,N
36.15278,-92.44534,330.3,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,285.67,3.4,N
36.14935,-92.44602,342.22,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,288.12,2.81,N
36.15058,-92.45517,299.68,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,285.14,1.87,N
36.14997,-92.45059,299.73,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,285.6,2.81,N
36.14874,-92.44146,315.4,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,284.81,1.94,N
36.14716,-92.45584,328.36,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,286.77,1.87,N
36.14654,-92.45128,328.51,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,286.18,2.81,N
36.14685,-92.4491,329.42,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,286.06,1.71,N
36.14811,-92.45824,317.99,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,285.9,1.8,N
36.14748,-92.45365,306.68,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,286.11,1.8,N
36.14406,-92.45438,321.69,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,284.27,1.8,N
36.14344,-92.44984,296.48,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,283.14,1.71,N
36.13409,-92.43302,303.48,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,281.18,0.58,N
36.13192,-92.44283,306.14,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,283.08,0.71,N
36.1313,-92.43831,303.29,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,282.32,0.71,N
36.13288,-92.47549,328.61,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,284.23,1.76,N
36.13734,-92.50813,298.76,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,281.16,0.92,N
36.13351,-92.48016,301.76,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,282.45,1.76,N
36.13224,-92.47088,300.05,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,284.68,1.06,N
36.13162,-92.46634,312.41,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,285.28,1.06,N
36.12912,-92.44804,304.56,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,284.32,1.24,N
